userId,movieId,title,genres,prediction
610,3379,On the Beach,"['Science Fiction', 'Drama', 'Romance']",5.5510144
610,33649,Saving Face,"['Comedy', 'Romance', 'Drama']",5.1971884
607,1066,Shall We Dance,"['Comedy', 'Romance']",4.7685013
598,89904,The Artist,"['Drama', 'Comedy', 'Romance']",5.92726
609,72171,Black Dynamite,"['Comedy', 'Action']",4.101122
609,78836,Enter the Void,"['Fantasy', 'Drama']",4.101122
608,60943,Frozen River,"['Drama', 'Crime']",4.764447
610,7096,Rivers and Tides,['Documentary'],4.9733615
609,138966,Nasu: Summer in Andalusia,"['Animation', 'Action']",4.101122
608,59018,The Visitor,"['Crime', 'Drama', 'Music']",4.764447
481,7748,Pierrot le Fou,"['Drama', 'Romance', 'Crime']",3.885417
585,4256,The Center of the World,"['Drama', 'Romance']",5.10942
593,6650,Kind Hearts and Coronets,"['Comedy', 'Crime']",4.504653
606,4495,Crossing Delancey,"['Comedy', 'Romance']",4.74979
583,3451,Guess Who's Coming to Dinner,"['Drama', 'Romance']",4.304476
581,177593,"Three Billboards Outside Ebbing, Missouri","['Crime', 'Drama']",4.9069214
597,132333,Seve,"['Drama', 'Documentary']",5.351497
604,3200,The Last Detail,"['Drama', 'Comedy']",4.9081755
598,51931,Reign Over Me,['Drama'],5.914618
597,5490,The Big Bus,"['Action', 'Comedy']",5.351497
587,5075,Waydowntown,"['Comedy', 'Drama']",5.287833
565,26810,Bad Boy Bubby,"['Crime', 'Drama', 'Comedy']",4.677857
436,940,The Adventures of Robin Hood,"['Adventure', 'Romance', 'History']",4.071382
583,158966,Captain Fantastic,"['Adventure', 'Drama']",4.2726183
573,134796,Bitter Lake,['Documentary'],5.5091324
591,5034,Truly Madly Deeply,"['Fantasy', 'Drama', 'Comedy', 'Romance']",4.530711
567,148881,World of Tomorrow,"['Animation', 'Drama', 'Science Fiction']",4.7389784
266,5485,Tadpole,"['Comedy', 'Drama', 'Romance']",5.0339985
606,7767,The Best of Youth,"['Drama', 'History', 'Romance']",4.896912
592,3022,The General,"['Action', 'Adventure', 'Comedy', 'War', 'Romance']",4.9731693
585,26073,The Human Condition III: A Soldier's Prayer,"['War', 'Drama', 'History']",5.10942
587,5867,Thief,"['Crime', 'Thriller', 'Drama']",5.464007
564,3675,White Christmas,"['Comedy', 'Music', 'Romance']",4.7506304
566,86347,Louis C.K.: Chewed Up,"['Comedy', 'TV Movie']",4.539199
575,1366,The Crucible,"['Drama', 'History']",4.8785734
607,2563,Dangerous Beauty,"['Drama', 'Romance']",4.978229
607,42730,Glory Road,"['Drama', 'History']",4.813957
266,86377,Louis C.K.: Shameless,"['Comedy', 'TV Movie']",5.1001377
594,1957,Chariots of Fire,"['Drama', 'History']",5.4708896
597,1203,12 Angry Men,['Drama'],5.4122543
365,3283,Minnie and Moskowitz,"['Romance', 'Drama', 'Comedy']",4.1311593
442,87234,Submarine,"['Drama', 'Comedy', 'Romance']",2.673109
561,68945,Neon Genesis Evangelion: Death and Rebirth,"['Animation', 'Drama', 'Science Fiction']",4.37967
605,26528,Anne of Green Gables,"['Family', 'Drama']",4.3236136
603,3473,Jonah Who Will Be 25 in the Year 2000,['Drama'],4.937334
609,27523,My Sassy Girl,"['Drama', 'Comedy', 'Romance']",4.1252112
593,1949,A Man for All Seasons,"['Drama', 'History']",4.527652
608,166534,Split,"['Horror', 'Thriller']",4.639385
585,117531,Watermark,['Documentary'],5.10942
592,932,An Affair to Remember,"['Drama', 'Romance']",4.767105
549,86345,Louis C.K.: Hilarious,"['Comedy', 'TV Movie']",5.490759
566,85774,Senna,['Documentary'],4.7278137
508,80693,It's Kind of a Funny Story,"['Comedy', 'Drama']",3.8599412
597,5915,Escape to Victory,"['Drama', 'War']",5.355156
546,1223,A Grand Day Out,"['Family', 'Animation', 'Comedy', 'Science Fiction', 'Adventure']",5.37788
597,1262,The Great Escape,"['Adventure', 'Drama', 'War']",5.4041443
600,26171,PlayTime,['Comedy'],4.4910035
610,6666,The Discreet Charm of the Bourgeoisie,['Comedy'],4.979002
567,71899,Mary and Max,"['Animation', 'Comedy', 'Drama']",4.1041727
544,187593,Deadpool 2,"['Action', 'Comedy', 'Adventure']",5.5267124
592,25906,Mr. Skeffington,"['Drama', 'Romance']",4.795085
607,55363,The Assassination of Jesse James by the Coward Robert Ford,"['Drama', 'Western']",4.804695
191,2936,Sullivan's Travels,"['Comedy', 'Romance', 'Adventure']",5.400938
605,80586,Flipped,"['Romance', 'Drama']",4.2667065
454,2239,Swept Away,"['Comedy', 'Drama', 'Romance']",4.7236147
610,27156,Neon Genesis Evangelion: The End of Evangelion,"['Animation', 'Science Fiction', 'Drama', 'Fantasy']",4.954427
577,2398,Miracle on 34th Street,"['Comedy', 'Drama', 'Family']",4.3342824
542,92259,The Intouchables,"['Drama', 'Comedy']",5.206893
208,5222,Kissing Jessica Stein,['Comedy'],4.5119786
528,7481,Enemy Mine,"['Drama', 'Science Fiction']",4.8410087
488,8235,Safety Last!,"['Comedy', 'Romance']",4.8708572
600,306,Three Colors: Red,"['Drama', 'Mystery', 'Romance']",4.5890856
483,174909,Logan Lucky,"['Comedy', 'Crime', 'Action', 'Drama']",4.816036
554,1411,Hamlet,['Drama'],5.4247556
589,8542,A Day at the Races,"['Comedy', 'Music']",5.2124863
605,5466,My Wife Is an Actress,"['Comedy', 'Romance']",4.251059
610,2131,Autumn Sonata,['Drama'],5.0699167
483,188751,Mamma Mia! Here We Go Again,"['Comedy', 'Romance']",4.816036
576,168492,Call Me by Your Name,"['Romance', 'Drama']",4.6152864
575,3019,Drugstore Cowboy,"['Drama', 'Crime']",4.7494407
598,3265,Hard Boiled,"['Action', 'Thriller', 'Crime']",5.1546426
592,77846,12 Angry Men,"['Drama', 'TV Movie']",4.795085
